is_explicit,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,country
1,204990,0.7842,0.7047,8,-10.743,0,0.0671,0.1636,0.11053,0.2004,0.406,108.183,US
0,175499,0.6504,0.7979,2,-10.086,1,0.0613,0.3088,0.13734,0.1359,0.5027,130.468,DE
0,235571,0.3983,0.3656,6,-8.517,0,0,0.2275,0,0.0252,0.3067,116.87,JP
0,228870,0.3553,0.868,6,-10.958,1,0,0.2456,0.09888,0.2399,0.4453,97.447,US
0,244581,0.8706,0.7807,10,-4.91,0,0.0339,0.0,0.06173,0.0888,0.6694,125.139,US
1,259776,0.4994,0.6634,7,-8.694,1,0.1445,0.1859,0.08419,0.2029,0.4945,107.611,JP
0,173079,0.563,0.7255,7,-7.023,0,0.0843,0.0117,0.08385,0.2084,0.3702,104.029,DE
0,265212,0.7764,0.9344,0,-7.897,0,0.049,0.0646,0.0349,0.3023,0.7743,127.4,BR
1,197479,0.5915,0.9002,8,-7.744,0,0.1147,0.1266,0,0.055,0.7961,140.009,BR
0,299033,0.4942,0.547,1,-8.686,1,0.1619,0.0936,0.03779,0.1923,0.6944,95.744,DE
0,260104,0.3966,0.6591,10,-7.264,1,0.1141,0.1564,0,0.1364,0.8639,112.809,US
0,155915,0.7662,0.5599,7,-3.172,0,0.0803,0.2636,0.17596,0.1767,0.5857,116.859,KR
1,283887,0.5669,0.7999,10,-6.206,1,0.0871,0.2423,0.16957,0.1087,0.3083,127.39,US
1,249198,0.8529,0.5806,11,-5.704,0,0,0.0,0.13271,0.2188,0.5118,145.313,BR
0,185907,0.6451,0.7943,1,-4.454,1,0.1221,0.0,0.16868,0.2439,0.5766,117.217,KR
0,225773,0.6411,0.6371,6,-6.844,0,0.082,0.1868,0,0.3052,0.5751,107.606,US
0,180897,0.6265,0.6684,11,-6.15,0,0.0797,0.2088,0,0.1003,0.4993,117.583,DE
1,233741,0.7684,0.6202,1,-8.632,0,0.065,0.2337,0.17737,0.2321,0.338,119.745,DE
0,202993,0.4934,0.5379,4,-4.728,1,0.0395,0.4833,0.14942,0.2087,0.9662,129.418,JP
0,186027,0.6976,0.6936,3,-6.233,1,0.0659,0.3058,0,0.1372,0.8027,118.693,US
1,225534,0.5276,0.5131,2,-12.058,1,0.1014,0.2879,0,0.1338,0.2739,108.48,DE
0,242171,0.5464,0.7382,0,-1.537,0,0.005,0.0514,0.13665,0.1846,0.8663,154.832,KR
0,164943,0.6196,0.7874,11,-6.94,0,0,0.1557,0.00082,0.1319,0.6837,129.094,KR
0,218463,0.7881,0.8868,6,-4.381,0,0.1194,0.1403,0.14372,0.3129,0.6139,138.643,US
0,158647,0.9012,0.8173,3,-11.728,1,0.1304,0.377,0.02921,0.1789,0.5082,120.199,KR
0,249078,0.5605,0.7298,6,-3.381,1,0.0759,0.2448,0.06358,0.068,0.4492,113.396,BR
0,300750,0.6624,0.6489,4,-3.713,0,0.1298,0.3307,0.03834,0.074,0.3184,112.667,DE
0,214985,0.8136,0.5662,8,-5.816,0,0.065,0.2344,0.00406,0.0832,0.5538,147.16,BR
0,190055,0.4876,0.6303,3,-10.005,1,0.0502,0.1992,0.04928,0.0982,0.3704,122.27,JP
1,229556,0.9041,0.6371,7,-8.37,1,0.0477,0.0518,0.1188,0.0,0.5319,95.704,US
0,182717,0.4996,0.7634,10,-10.79,1,0.0863,0.379,0.12406,0.1715,0.2307,135.453,JP
0,254475,0.5969,0.6967,6,-9.412,0,0.1349,0.3264,0.20501,0.0361,0.7328,101.403,US
0,262478,0.6222,0.8264,1,-6.413,1,0.1249,0.3197,0,0.1351,0.5036,145.541,KR
0,199764,0.6404,0.7733,2,-9.755,1,0,0.2618,0.09313,0.0919,0.6879,94.588,BR
0,242626,0.7061,0.7257,8,-4.826,0,0.1081,0.2865,0,0.013,0.7318,125.233,KR
0,288691,0.7066,0.502,11,-4.258,0,0.1435,0.0899,0.04205,0.1674,0.3102,150.173,DE
0,202218,0.5658,0.8112,4,-8.733,1,0.0207,0.2107,0,0.0038,0.6167,80.963,BR
0,114182,0.6044,0.5917,1,-9.013,1,0.1239,0.3206,0.1428,0.1903,0.6297,133.552,KR
1,254890,0.7421,0.7688,11,-9.427,0,0.1357,0.1999,0,0.0189,0.5242,90.409,BR
0,235664,0.6688,0.8653,9,-4.35,0,0.0349,0.2401,0,0.2601,0.8171,111.527,KR
0,217986,0.6772,0.6715,6,-3.521,1,0.1172,0.1913,0,0.0569,0.6097,145.795,KR
0,191540,0.544,0.8886,5,-7.443,1,0.068,0.2615,0.04042,0.1472,0.3576,140.059,JP
0,154331,0.6104,0.666,11,-9.578,1,0,0.0207,0.06724,0.0495,0.7459,93.561,BR
0,219307,0.5353,0.746,7,-8.266,1,0.0438,0.42,0,0.263,0.4338,141.006,JP
0,199073,0.488,0.9713,1,-6.612,0,0.067,0.1635,0.05785,0.007,0.401,113.403,JP
1,222256,0.8812,0.6652,7,-3.904,1,0,0.2696,0,0.2961,0.536,135.58,US
0,180310,0.8812,0.895,3,-8.163,0,0.0765,0.0837,0,0.0698,0.2276,93.138,US
0,185500,0.7381,0.7237,0,-8.256,0,0,0.159,0.19127,0.3036,0.3162,120.093,KR
0,169291,0.6346,0.7494,7,-7.41,0,0.1066,0.1408,0.17592,0.2232,0.5251,129.382,DE
0,239237,0.6662,0.5437,9,-7.926,0,0.0894,0.1341,0.12051,0.1143,0.3242,115.942,DE
0,152971,0.4948,0.7375,3,-7.552,1,0.0613,0.1907,0.0682,0.1951,0.6032,126.331,DE
0,246320,0.6401,0.6115,1,-2.15,0,0.1738,0.1528,0,0.0559,0.5847,118.333,DE
1,230966,0.6959,0.6864,4,-6.317,1,0.0174,0.3003,0.01617,0.2557,0.4257,148.213,DE
1,256371,0.8116,0.66,1,-5.295,0,0.1908,0.1459,0,0.0483,0.8691,114.928,BR
0,212297,0.5058,0.5513,4,-7.321,0,0.1442,0.2975,0.15356,0.0,0.3591,133.454,JP
0,235217,0.4963,0.6457,6,-8.934,0,0.0299,0.3292,0,0.3975,0.3613,142.257,JP
0,165186,0.6672,0.7635,7,-4.811,1,0.0825,0.0992,0,0.0902,0.3495,132.563,US
1,154799,0.5432,0.6941,0,-9.088,1,0.2359,0.3868,0.14502,0.1021,0.7457,144.882,US
0,191707,0.9612,0.5812,7,-5.547,0,0.0477,0.218,0.09931,0.2859,0.6582,105.25,BR
1,221589,0.5797,0.8509,0,-8.195,1,0.0629,0.0,0,0.0893,0.6509,107.335,US
0,156622,0.7318,0.5984,3,-6.39,0,0.0406,0.1618,0.05477,0.1305,0.6527,86.881,BR
0,166936,0.5894,0.8393,0,-7.352,0,0,0.1977,0.18911,0.0113,0.5008,123.057,BR
1,266192,0.9711,0.7465,4,-7.185,1,0.0368,0.1155,0.12813,0.2032,0.5809,95.232,BR
0,249577,0.4898,0.5191,3,-7.883,1,0.1794,0.2968,0.00834,0.1784,0.3104,102.783,JP
1,206664,0.8077,0.6816,5,-6.241,1,0.0393,0.2379,0,0.2394,0.697,125.106,BR
0,185607,0.5591,0.7169,7,-7.724,1,0,0.2947,0.14007,0.0936,0.4088,148.01,DE
1,176159,0.8318,0.639,4,-9.013,1,0.1025,0.1139,0,0.2362,0.5646,145.372,US
0,207030,0.596,0.7181,0,-9.199,0,0.164,0.1443,0.15741,0.0,0.4663,113.152,DE
0,222557,0.6648,0.6872,10,-11.268,0,0,0.1128,0,0.0916,0.3283,138.609,JP
1,189121,0.8511,0.7688,8,-5.812,1,0,0.1689,0.08733,0.0926,0.6726,99.591,KR
0,198224,0.6304,0.7443,3,-7.318,1,0.1861,0.2557,0,0.2921,0.673,131.95,JP
0,209782,0.6864,0.5745,5,-4.575,0,0.0492,0.0793,0,0.0,0.5696,136.796,BR
0,141821,0.7415,0.6846,0,-8.004,0,0.0566,0.3117,0.22117,0.2798,0.6513,136.9,US
0,208733,0.5506,0.6129,7,-6.418,1,0.1251,0.2137,0.02435,0.0949,0.3534,130.499,DE
0,187810,0.4416,0.792,6,-7.327,1,0.0913,0.3569,0.11363,0.0701,0.3955,107.988,JP
0,248506,0.6538,0.8705,3,-7.309,0,0.1167,0.1162,0,0.0654,0.4758,156.884,DE
1,225841,0.5679,0.7224,2,-5.616,0,0.0727,0.2267,0.2259,0.1765,0.4594,141.876,DE
0,242893,0.7497,0.7729,7,-6.407,1,0.0513,0.2152,0,0.1542,0.8358,126.471,KR
0,202968,0.5963,0.8926,6,-7.043,0,0,0.2661,0.08675,0.1783,0.4099,121.826,DE
0,148954,0.4832,0.5614,4,-4.706,1,0.0164,0.2956,0.06319,0.1125,0.3383,99.518,JP
0,220752,0.7484,0.6747,7,-4.746,1,0.0568,0.277,0,0.2257,0.3933,133.358,DE
1,219784,0.7338,0.8615,2,-4.664,0,0.014,0.1203,0.0255,0.2048,0.5345,136.187,BR
0,188610,0.4698,0.6098,9,-8.373,0,0.1188,0.3137,0.10328,0.084,0.5951,111.921,BR
0,240580,0.363,0.8988,9,-7.735,0,0.0119,0.1888,0.04157,0.1373,0.4654,160.192,JP
0,220454,0.6406,0.6549,11,-7.793,0,0.1419,0.3804,0,0.2372,0.5665,142.997,JP
0,192722,0.5592,0.7464,9,-6.525,0,0.058,0.2151,0,0.0619,0.3955,135.121,JP
1,176778,0.6617,0.5998,10,-9.6,1,0.1377,0.2839,0.03992,0.1527,0.4194,137.758,DE
0,204418,0.7188,0.6127,2,-6.956,1,0.0375,0.2024,0,0.1064,0.5143,132.365,KR
1,192457,0.7121,0.6709,6,-4.557,1,0.065,0.2985,0.11004,0.1471,0.6971,115.54,US
0,228797,0.5057,0.556,6,-8.614,1,0.0789,0.2151,0.05725,0.1208,0.3847,113.558,JP
0,167586,0.817,0.8325,3,-11.169,0,0.1041,0.2833,0,0.0586,0.5511,108.683,KR
0,155455,0.7184,0.596,10,-11.693,1,0.1354,0.073,0.07192,0.1906,0.5488,120.43,BR
0,199440,0.6178,0.6477,5,-6.835,1,0.1862,0.4112,0.13489,0.051,0.3441,129.109,JP
