amount,age,tenure_months,num_claims,credit_score,distance_km,channel,label
983.86,36,62,1,442,13.1,0,0
1698.48,46,8,0,395,9.3,0,0
343.2,64,166,3,525,10.7,1,0
1262.49,70,40,3,648,15.7,1,0
2510.11,24,97,0,667,10.4,1,0
2052.38,53,31,3,380,40.6,1,0
993.96,55,49,0,346,33.9,0,0
4136.78,74,25,3,584,12.7,1,0
247.28,32,171,1,373,48.9,0,0
1254.47,36,163,1,632,64.5,0,0
2479.47,36,16,1,880,27.0,1,0
1917.71,60,117,0,571,20.4,0,0
114.81,56,109,3,670,8.3,0,0
2329.32,67,12,0,456,55.6,0,0
720.24,43,152,5,841,26.8,1,0
1346.16,65,29,1,648,15.3,0,0
1265.98,65,67,0,819,22.7,0,0
558.29,57,50,0,682,74.5,0,0
1529.92,19,153,2,800,28.4,0,0
1640.59,70,78,1,359,108.2,0,0
1799.85,50,17,0,431,14.5,1,0
2133.96,57,108,1,852,62.2,0,0
602.83,42,112,5,423,55.4,0,0
149.57,33,150,1,307,65.3,0,0
1722.46,21,84,0,826,25.4,0,0
659.49,65,146,5,548,24.6,1,0
1447.73,46,90,3,720,36.8,1,0
3258.49,60,25,0,712,39.4,1,0
1956.66,53,114,0,732,36.5,0,0
1204.13,47,140,0,351,110.6,0,0
3808.69,29,104,5,792,14.7,0,0
1935.92,19,99,1,765,6.2,1,0
5947.41,54,169,5,458,14.8,0,1
3135.55,53,15,2,358,9.7,0,0
1735.41,29,14,0,490,18.6,0,0
702.61,26,145,1,892,6.1,0,0
535.46,52,80,1,509,45.7,1,0
575.73,38,117,2,374,56.4,0,0
6195.4,23,137,1,818,18.7,1,0
869.98,34,94,1,461,32.3,1,0
606.24,70,167,0,867,32.7,1,0
3648.42,35,29,0,866,69.7,0,0
686.4,32,175,1,817,18.9,1,0
1605.93,59,108,1,345,13.0,0,0
4052.71,29,113,3,874,101.8,0,0
3363.28,28,139,0,678,0.7,0,0
2579.62,78,10,2,515,29.9,0,0
34.78,74,104,0,542,60.8,0,0
2354.22,20,45,2,721,56.7,0,0
1366.94,74,9,5,527,1.4,0,0
40.44,69,58,1,324,28.4,0,0
1098.29,68,71,2,821,34.9,1,0
1946.79,20,29,1,482,9.8,1,0
65.04,69,80,3,823,1.0,0,0
180.41,64,111,0,832,5.8,0,0
3205.34,40,159,2,427,45.2,1,0
535.2,63,75,0,496,10.8,1,0
606.65,30,157,1,715,65.7,0,0
1851.88,57,167,2,776,88.0,1,0
1583.97,76,43,0,590,64.1,1,0
2248.04,38,57,1,450,11.3,0,0
3251.53,68,18,5,724,14.5,0,0
69.82,28,167,0,409,46.9,1,0
1971.82,48,12,1,424,38.2,1,0
600.83,54,152,2,753,30.8,1,0
1855.99,66,121,5,565,5.3,0,0
755.81,50,160,1,581,88.3,1,0
934.1,39,138,0,441,51.1,0,0
389.93,23,106,3,638,38.8,1,0
1619.54,76,149,0,889,60.2,1,0
2382.5,43,107,1,799,8.1,0,0
282.54,61,173,3,469,23.6,1,0
3040.4,77,100,0,385,14.0,1,0
732.05,43,83,1,765,23.1,1,0
2081.16,72,107,1,383,2.2,1,1
5069.0,41,57,0,341,22.3,0,0
1295.23,28,61,0,784,27.7,0,0
1665.02,68,94,0,417,80.8,0,0
1466.21,38,147,3,706,25.7,0,0
431.82,25,178,1,423,32.3,0,0
99.65,51,165,2,312,36.7,1,0
4208.59,59,117,0,745,82.7,0,0
2362.36,70,137,5,776,13.2,1,0
93.98,34,22,1,761,0.6,0,0
816.92,40,7,5,632,5.2,0,0
490.2,36,152,1,869,44.5,0,0
1603.53,45,125,1,787,47.7,1,0
2444.91,44,177,1,613,23.6,1,0
349.58,66,140,2,660,11.9,1,0
1193.29,31,80,0,848,40.3,0,0
1113.67,56,134,1,402,12.1,0,0
383.37,64,136,0,580,46.0,0,0
990.2,27,163,5,405,0.3,0,0
386.67,30,13,1,789,28.2,0,0
722.34,59,175,0,455,29.2,0,0
1800.89,34,30,3,531,14.7,1,0
1584.76,46,78,0,401,47.9,0,0
1143.28,34,44,0,460,36.4,0,0
571.65,21,59,1,589,21.8,1,0
1322.25,69,160,1,735,51.2,0,0
767.03,71,36,0,361,50.0,0,0
1113.01,77,73,5,427,21.9,1,0
85.89,51,138,5,748,70.9,0,0
3076.7,57,64,0,393,21.7,0,0
2209.31,20,172,1,890,24.9,0,0
2021.92,47,71,0,899,63.1,1,0
544.73,41,104,2,628,20.9,0,0
90.91,37,169,3,863,74.0,0,0
677.24,68,103,0,855,52.5,1,0
1743.32,67,127,5,352,55.0,0,0
2040.63,75,178,5,424,44.2,0,0
340.19,29,79,0,865,1.3,1,0
4510.39,48,30,0,810,15.7,1,0
782.6,49,62,5,864,95.1,0,0
2776.1,75,34,0,582,2.5,1,0
1477.67,19,72,1,893,10.7,1,0
429.93,40,141,3,766,35.2,1,0
2300.03,43,59,3,344,16.4,1,0
439.37,43,169,0,807,50.2,0,0
2515.63,25,112,0,838,12.2,1,0
3073.09,28,19,5,571,83.7,1,0
709.19,40,172,3,624,29.8,1,0
1750.44,59,175,1,532,23.4,0,0
2932.13,74,25,5,470,52.9,1,0
3764.25,37,91,2,741,40.3,0,0
732.13,30,43,0,380,51.8,1,0
1390.81,28,59,5,560,108.2,1,0
3905.98,76,73,0,375,24.3,1,0
2460.95,46,176,1,767,17.4,1,0
90.63,34,97,2,888,50.5,1,0
38.39,61,101,1,308,126.0,0,0
1113.95,76,73,1,660,55.6,0,0
436.94,65,168,0,399,21.5,0,0
639.71,65,33,0,602,39.1,1,0
1559.72,53,93,1,468,39.0,1,0
