kind,edition,컴포넌트,name,arch,2.16,2.25,3.2,3.3,3.4,3.5 (EA2),latest_status,upstream,근거,source_url
feature,self-managed,Kueue,Ability to self-manage ClusterQueues and LocalQueues,,—,—,—,—,—,GA,GA,Kueue,"ClusterQueue LocalQueue In OpenShift AI, you can self-manage and resources for your data science projects.",https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/new-features-and-enhancements_relnotes
feature,self-managed,Workbenches,Accelerator Profiles and legacy Container Size selector deprecated,,—,—,Deprecated,Deprecated,Deprecated,Deprecated,Deprecated,Kubeflow Notebooks,"Starting with OpenShift AI 3.0, Accelerator Profiles and the Container Size selector for workbenches are deprecated.",https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.4/html/release_notes/support-removals_relnotes
feature,self-managed,AI Hub,Additional fields added to Model Deployments for AI Available Assets integration,,—,—,DP,DP,DP,DP,DP,Open Data Hub,This feature is available as a Developer Preview.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/developer-preview-features_relnotes
feature,self-managed,Data science pipelines,Adversarial vulnerability scanning for Red Hat-validated models,,—,—,—,—,—,GA,GA,Kubeflow Pipelines,New models added to the Red Hat AI validated models catalog now undergo automated adversarial vulnerability scanning as part of the validation process.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/new-features-and-enhancements_relnotes
feature,self-managed,AI Hub,Agent Catalog in AI Hub for agent starter kit discovery,,—,—,—,—,—,DP,DP,Open Data Hub,The Agent Catalog in AI Hub provides a centralized interface for discovering and exploring agent starter kits as a Developer Preview.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/developer-preview-features_relnotes
feature,self-managed,Llama Stack Operator,Agent deploy and runtime management,,—,—,—,—,DP,DP,DP,Llama Stack,You can manage the runtime concerns of deployed agents using the AgentRuntime custom resource.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/developer-preview-features_relnotes
feature,self-managed,Llama Stack Operator,AgentCard support for post-deployment agent discovery,,—,—,—,—,DP,DP,DP,Llama Stack,You can discover deployed agents and their capabilities through the AgentCard custom resource.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/developer-preview-features_relnotes
feature,self-managed,MaaS,AI Available Assets integration with Model-as-a-Service (MaaS),,—,—,DP,DP,DP,DP,DP,Red Hat OpenShift AI (KServe/llm-d 기반),This feature is available as a Developer Preview.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/developer-preview-features_relnotes
feature,self-managed,AI Hub,AI Available Assets page for deployed models and MCP servers,,—,—,—,TP,TP,TP,TP,Open Data Hub,A new AI Available Assets page enables AI engineers and application developers to view and consume deployed AI resources within their projects.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/technology-preview-features_relnotes
feature,self-managed,Dashboard,Allow and disallow functionality added to the model catalog,,—,—,—,GA,GA,GA,GA,Open Data Hub Dashboard,"The model catalog now provides an administrative capability in the OpenShift AI dashboard to selectively hide, disallow list, or remove specific models from the visible catalog.",https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.3/html/release_notes/new-features-and-enhancements_relnotes
feature,self-managed,Workbenches,Anaconda removal,,—,Removed,—,—,—,—,—,Kubeflow Notebooks,"Starting with OpenShift AI version 2.18, Anaconda is no longer included in OpenShift AI, and Anaconda resources are no longer supported or managed by OpenShift AI.",https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.4/html/release_notes/support-removals_relnotes
feature,self-managed,Distributed Inference with llm-d,API surface full-stack passthrough for tool calling in Distributed Inference with llm-d,,—,—,—,—,—,TP,TP,llm-d,Tool calling parameters pass through the full Distributed Inference with llm-d serving stack without modification.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/technology-preview-features_relnotes
feature,self-managed,Model Registry,Artifact signing and verification for model registry,,—,—,—,—,TP,TP,TP,,This Technology Preview feature enables you to sign artifacts to establish authenticity and verify signatures to confirm integrity.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/technology-preview-features_relnotes
feature,self-managed,KServe,"Auto-select the best runtime for your model based on model type, model format, and",,—,—,GA,GA,GA,GA,GA,KServe,This option automatically selects a serving runtime if there is exactly one match.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.2/html/release_notes/new-features-and-enhancements_relnotes
feature,self-managed,Dashboard,AutoGluon serving runtime,,—,—,—,—,—,TP,TP,Open Data Hub Dashboard,Red Hat OpenShift AI includes AutoGluon as a pre-configured serving runtime for deploying AutoML models as a Technology Preview.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/technology-preview-features_relnotes
feature,self-managed,Dashboard,Automate machine learning model training with AutoML,,—,—,—,—,TP,TP,TP,Open Data Hub Dashboard,AutoML is available as a Technology Preview feature in Red Hat OpenShift AI 3.5.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/technology-preview-features_relnotes
feature,self-managed,Dashboard,Automate RAG optimization with AutoRAG,,—,—,—,—,TP,TP,TP,Open Data Hub Dashboard,AutoRAG is available as a Technology Preview feature in Red Hat OpenShift AI 3.4.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/technology-preview-features_relnotes
feature,self-managed,Data science pipelines,Automated generation of tool-calling evaluation data for custom MCP servers,,—,—,—,—,—,GA,GA,Kubeflow Pipelines,You can automatically generate tool-calling evaluation benchmark data from custom Model Context Protocol (MCP) servers.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/new-features-and-enhancements_relnotes
feature,self-managed,Distributed Inference with llm-d,Automated prompt optimization for agentic systems,,—,—,—,—,—,GA,GA,llm-d,You can automate the optimization of prompts for your agentic systems by using Training Hub.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/new-features-and-enhancements_relnotes
feature,self-managed,(미분류),Automated Red Teaming,,—,—,—,—,—,GA,GA,,Automated Red Teaming is generally available (GA).,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/new-features-and-enhancements_relnotes
feature,self-managed,MLflow,Automatic MLflow experiment creation in EvalHub,,—,—,—,—,DP,DP,DP,MLflow,The EvalHub service automatically creates an MLflow experiment when you specify experiment.name in the evaluation job request.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/developer-preview-features_relnotes
feature,self-managed,Workbenches,Automatic MLflow SDK configuration for workbenches,,—,—,—,—,GA,GA,GA,Kubeflow Notebooks,"When the MLflow Operator is enabled, you can annotate workbench notebook resources with opendatahub.io/mlflow-instance to automatically configure the MLflow SDK.",https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.4/html/release_notes/new-features-and-enhancements_relnotes
feature,self-managed,TrustyAI,Automatic Prometheus monitoring integration for EvalHub on OpenShift,,—,—,—,—,—,GA,GA,TrustyAI,ServiceMonitor The TrustyAI Service Operator automatically creates a resource when EvalHub is deployed with metrics enabled.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/new-features-and-enhancements_relnotes
feature,self-managed,Dashboard,AutoML experimentation visibility and transparency,,—,—,—,—,—,TP,TP,Open Data Hub Dashboard,You can view detailed AutoML experimentation data directly in the dashboard.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/technology-preview-features_relnotes
feature,self-managed,Data science pipelines,AutoRAG visual pipeline representation for experimentation,,—,—,—,—,—,TP,TP,Kubeflow Pipelines,The AutoRAG user interface includes a visual pipeline representation of the experimentation process.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/technology-preview-features_relnotes
feature,self-managed,Kuberay,Autoscaling support for Ray distributed workloads,,—,—,—,—,—,TP,TP,KubeRay (Ray),You can enable cluster autoscaling for your Ray distributed workloads.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/technology-preview-features_relnotes
feature,self-managed,(미분류),AWS Security Token Service (STS) authentication for AWS Bedrock,,—,—,—,—,—,TP,TP,,You can use AWS Security Token Service (STS) authentication with the AWS Bedrock inference provider.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/technology-preview-features_relnotes
feature,self-managed,TrustyAI,Basic guardrails available in Gen AI Playground,,—,—,—,—,TP,TP,TP,TrustyAI,The Gen AI Playground provides access to basic safety guardrails from OGX.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/technology-preview-features_relnotes
feature,self-managed,Feature Store,batch engine for Feast Feature Store,,—,—,—,—,—,GA,GA,Feast,SparkApplication Feast Feature Store supports a batch engine.,https://docs.redhat.com/en/documentation/red_hat_openshift_ai_self-managed/3.5/html/release_notes/new-features-and-enhancements_relnotes
